year,begin_code,MO
1995,14,5.8
1995,15,6.9
1995,16,6.7
1995,17,4.3
1995,18,1.9
1995,19,0.4
1995,20,2.1
1995,21,2.4
1995,22,4.7
1995,23,5
1995,24,4.1
1995,25,5.5
1995,26,4
1995,27,2.9
1995,28,1.4
1995,29,3.7
1995,30,5.5
1995,31,3
1995,32,6.5
1995,33,3.5
1995,34,6.8
1995,35,6.9
1995,36,7
1995,37,6.6
1995,38,6.5
1995,39,4.6
1995,40,6.6
1995,41,5.8
1995,42,7
1995,43,6.4
1995,44,4.6
1995,45,3.9
1995,46,3
1995,47,2
1995,48,
1995,49,
1995,50,
1995,51,
1996,14,
1996,15,1.7
1996,16,4.8
1996,17,5.5
1996,18,1.7
1996,19,1.8
1996,20,1.4
1996,21,2.6
1996,22,6.4
1996,23,3.1
1996,24,3.2
1996,25,0.6
1996,26,4
1996,27,6.1
1996,28,7
1996,29,5.8
1996,30,6
1996,31,5.3
1996,32,3.2
1996,33,6.5
1996,34,6.8
1996,35,6.9
1996,36,6.7
1996,37,6
1996,38,6.2
1996,39,3.6
1996,40,3.4
1996,41,5.3
1996,42,6
1996,43,6.3
1996,44,3.4
1996,45,3.1
1996,46,3.1
1996,47,1.9
1996,48,
1996,49,
1996,50,
1996,51,
1997,14,
1997,15,5.2
1997,16,1.4
1997,17,2.7
1997,18,2.9
1997,19,2.9
1997,20,3.9
1997,21,6.2
1997,22,6
1997,23,0.8
1997,24,1.8
1997,25,3.6
1997,26,5.1
1997,27,3.5
1997,28,5
1997,29,6
1997,30,5.4
1997,31,6.9
1997,32,6
1997,33,6.2
1997,34,4
1997,35,4.1
1997,36,6.6
1997,37,5.6
1997,38,6.7
1997,39,6.5
1997,40,3.5
1997,41,7
1997,42,6.1
1997,43,5
1997,44,4.9
1997,45,3.6
1997,46,2.3
1997,47,1
1997,48,4.5
1997,49,
1997,50,
1997,51,
1998,14,
1998,15,2.9
1998,16,3.6
1998,17,3.3
1998,18,3.3
1998,19,1.2
1998,20,0.8
1998,21,4.3
1998,22,6.2
1998,23,4.1
1998,24,4.7
1998,25,3.1
1998,26,4.6
1998,27,3.9
1998,28,6.5
1998,29,6.7
1998,30,5.7
1998,31,6
1998,32,0
1998,33,1.6
1998,34,2.5
1998,35,6.5
1998,36,6.9
1998,37,7
1998,38,6.9
1998,39,6.1
1998,40,6.9
1998,41,6.6
1998,42,3.9
1998,43,6
1998,44,5
1998,45,6.9
1998,46,6.2
1998,47,3.2
1998,48,4
1998,49,
1998,50,
1998,51,
1999,14,
1999,15,3.3
1999,16,1.1
1999,17,1.8
1999,18,4.8
1999,19,2.3
1999,20,3.4
1999,21,4.7
1999,22,4.1
1999,23,6.2
1999,24,4.4
1999,25,4.9
1999,26,6
1999,27,4.1
1999,28,1.8
1999,29,6.4
1999,30,6.9
1999,31,7
1999,32,6.3
1999,33,7
1999,34,6.6
1999,35,7
1999,36,7
1999,37,7
1999,38,6.9
1999,39,7
1999,40,7
1999,41,6.8
1999,42,5.7
1999,43,4.4
1999,44,6.6
1999,45,6.8
1999,46,5.8
1999,47,
1999,48,
1999,49,
1999,50,
1999,51,
2000,14,
2000,15,3.3
2000,16,4.9
2000,17,4.9
2000,18,5.7
2000,19,5
2000,20,5
2000,21,4.9
2000,22,5.1
2000,23,2.6
2000,24,4.8
2000,25,6.7
2000,26,4.1
2000,27,3.5
2000,28,4.1
2000,29,6.1
2000,30,6.3
2000,31,5.4
2000,32,5.3
2000,33,5.9
2000,34,7
2000,35,6.1
2000,36,5.5
2000,37,6.9
2000,38,6.2
2000,39,6
2000,40,5.6
2000,41,5.5
2000,42,5.5
2000,43,6.7
2000,44,6.7
2000,45,7
2000,46,4.5
2000,47,
2000,48,
2000,49,
2000,50,
2000,51,
2001,14,2.9
2001,15,2
2001,16,4.8
2001,17,5.8
2001,18,6.6
2001,19,6.6
2001,20,6.2
2001,21,5.8
2001,22,4
2001,23,2.7
2001,24,6.4
2001,25,5.6
2001,26,5.9
2001,27,5.9
2001,28,6.4
2001,29,5.9
2001,30,3.2
2001,31,3.3
2001,32,6.1
2001,33,4.7
2001,34,6.6
2001,35,6.5
2001,36,4.9
2001,37,4.6
2001,38,6.5
2001,39,4.4
2001,40,6
2001,41,4.5
2001,42,2.6
2001,43,5.1
2001,44,5
2001,45,5.4
2001,46,6.7
2001,47,
2001,48,
2001,49,
2001,50,
2001,51,
2002,14,
2002,15,3.1
2002,16,3.5
2002,17,3.1
2002,18,2.5
2002,19,2.7
2002,20,1.4
2002,21,1.1
2002,22,5.6
2002,23,6.1
2002,24,4.8
2002,25,4.1
2002,26,6.9
2002,27,5.5
2002,28,6.9
2002,29,5.3
2002,30,5.6
2002,31,6.8
2002,32,6.1
2002,33,6.9
2002,34,3
2002,35,3.4
2002,36,6.4
2002,37,7
2002,38,7
2002,39,3.4
2002,40,4.5
2002,41,5
2002,42,3.2
2002,43,4.5
2002,44,3.6
2002,45,1
2002,46,2.6
2002,47,
2002,48,
2002,49,
2002,50,
2002,51,
2003,14,
2003,15,5
2003,16,4.1
2003,17,5.1
2003,18,3.7
2003,19,2.7
2003,20,1.4
2003,21,1.9
2003,22,3.2
2003,23,5.9
2003,24,5.6
2003,25,2.3
2003,26,4.5
2003,27,4.3
2003,28,4.6
2003,29,6.3
2003,30,5.7
2003,31,6.1
2003,32,2.8
2003,33,4.8
2003,34,6.7
2003,35,5.8
2003,36,6.4
2003,37,2.7
2003,38,5.6
2003,39,5.9
2003,40,5.9
2003,41,6.3
2003,42,5.3
2003,43,4.5
2003,44,5.4
2003,45,6.6
2003,46,4.6
2003,47,3.9
2003,48,
2003,49,
2003,50,
2003,51,
2004,14,
2004,15,4
2004,16,6.5
2004,17,6.1
2004,18,3
2004,19,2
2004,20,4.6
2004,21,1.4
2004,22,4.5
2004,23,5.1
2004,24,4.5
2004,25,5
2004,26,4.9
2004,27,6.6
2004,28,4.3
2004,29,5.5
2004,30,5.3
2004,31,4.5
2004,32,4.6
2004,33,5.8
2004,34,5.9
2004,35,5.4
2004,36,3.6
2004,37,6.9
2004,38,6.9
2004,39,6.9
2004,40,7
2004,41,7
2004,42,6.7
2004,43,2.4
2004,44,1.4
2004,45,1.4
2004,46,2.1
2004,47,4
2004,48,3.4
2004,49,
2004,50,
2004,51,
2005,14,2.92
2005,15,3.11
2005,16,2.3
2005,17,4.3
2005,18,3
2005,19,7
2005,20,5.1
2005,21,6.5
2005,22,7
2005,23,6.7
2005,24,3.6
2005,25,6.5
2005,26,7
2005,27,6.3
2005,28,6.2
2005,29,0.7
2005,30,3.8
2005,31,6.9
2005,32,6.7
2005,33,6.9
2005,34,4.9
2005,35,4.4
2005,36,4.8
2005,37,7
2005,38,3.6
2005,39,5.6
2005,40,5.4
2005,41,7
2005,42,7
2005,43,6.6
2005,44,7
2005,45,6.1
2005,46,6.2
2005,47,
2005,48,
2005,49,
2005,50,
2005,51,
2006,14,4.5
2006,15,4.6
2006,16,6.5
2006,17,5.8
2006,18,3.2
2006,19,0.9
2006,20,1.2
2006,21,4.1
2006,22,4
2006,23,4.9
2006,24,6.9
2006,25,5.9
2006,26,5.3
2006,27,6.9
2006,28,6.7
2006,29,2.6
2006,30,5.9
2006,31,5.2
2006,32,6.2
2006,33,5.6
2006,34,6.2
2006,35,6
2006,36,5.9
2006,37,7
2006,38,6.3
2006,39,2.6
2006,40,3.1
2006,41,6.8
2006,42,6.7
2006,43,1.5
2006,44,2.6
2006,45,3.4
2006,46,1.4
2006,47,1.5
2006,48,
2006,49,
2006,50,
2006,51,
2007,14,5.2
2007,15,4.4
2007,16,2.5
2007,17,5.3
2007,18,5
2007,19,3.3
2007,20,5.2
2007,21,5.7
2007,22,6.8
2007,23,6.4
2007,24,5.4
2007,25,7
2007,26,5.8
2007,27,4.9
2007,28,4.8
2007,29,6.7
2007,30,6.7
2007,31,7
2007,32,7
2007,33,7
2007,34,
2007,35,7
2007,36,7
2007,37,4.8
2007,38,6.6
2007,39,7
2007,40,4.3
2007,41,6.7
2007,42,6.4
2007,43,2.6
2007,44,0.4
2007,45,6.6
2007,46,5.7
2007,47,4.3
2007,48,
2007,49,
2007,50,
2007,51,
2008,14,0.5
2008,15,0
2008,16,0.1
2008,17,2.1
2008,18,3.8
2008,19,4.1
2008,20,4.2
2008,21,3.8
2008,22,6.3
2008,23,4.3
2008,24,6.6
2008,25,6.2
2008,26,6.1
2008,27,5.8
2008,28,6.9
2008,29,4.8
2008,30,6.8
2008,31,5.8
2008,32,5.7
2008,33,6.5
2008,34,6.7
2008,35,4.8
2008,36,7
2008,37,4.4
2008,38,6.2
2008,39,4.7
2008,40,6.8
2008,41,6.8
2008,42,6.1
2008,43,4.6
2008,44,4
2008,45,6.9
2008,46,6
2008,47,2.7
2008,48,5.3
2008,49,
2008,50,
2008,51,
2009,14,3.2
2009,15,2.3
2009,16,3.3
2009,17,1.9
2009,18,4.8
2009,19,0.9
2009,20,0.3
2009,21,1.2
2009,22,5.2
2009,23,2.7
2009,24,3.1
2009,25,4
2009,26,4.6
2009,27,6.4
2009,28,6.3
2009,29,6.4
2009,30,5.8
2009,31,4
2009,32,4.1
2009,33,4.3
2009,34,6.2
2009,35,5.3
2009,36,6.3
2009,37,6.5
2009,38,6.7
2009,39,2.7
2009,40,3.1
2009,41,5.7
2009,42,2.1
2009,43,2.2
2009,44,3.37
2009,45,1.1
2009,46,6.2
2009,47,7
2009,48,3.3
2009,49,3.7
2009,50,2.8
2009,51,
2010,14,
2010,15,2.2
2010,16,3.3
2010,17,6.2
2010,18,5.4
2010,19,3.1
2010,20,3.6
2010,21,4.2
2010,22,3.2
2010,23,4.9
2010,24,6
2010,25,6.9
2010,26,6.9
2010,27,6.8
2010,28,7
2010,29,5.6
2010,30,5.1
2010,31,6
2010,32,6
2010,33,6.9
2010,34,6.2
2010,35,6.1
2010,36,6.9
2010,37,6.6
2010,38,4.7
2010,39,6.4
2010,40,6.9
2010,41,6.8
2010,42,7
2010,43,6.8
2010,44,7
2010,45,6.3
2010,46,6.9
2010,47,
2010,48,
2010,49,
2010,50,
2010,51,
2011,14,
2011,15,2.6
2011,16,3.2
2011,17,1.4
2011,18,0.6
2011,19,0
2011,20,0.1
2011,21,2.7
2011,22,3.8
2011,23,3
2011,24,7
2011,25,6.4
2011,26,5.3
2011,27,5.4
2011,28,6.4
2011,29,4.9
2011,30,6.8
2011,31,7
2011,32,7
2011,33,4.3
2011,34,5
2011,35,6.6
2011,36,6.8
2011,37,6.7
2011,38,6.9
2011,39,4.3
2011,40,3.6
2011,41,5.7
2011,42,7
2011,43,6.3
2011,44,5.4
2011,45,4.6
2011,46,5.5
2011,47,
2011,48,
2011,49,
2011,50,
2011,51,
2012,14,6.8
2012,15,6.5
2012,16,6.8
2012,17,5.2
2012,18,6.9
2012,19,7
2012,20,6.5
2012,21,7
2012,22,6.8
2012,23,7
2012,24,6.2
2012,25,6.2
2012,26,7
2012,27,7
2012,28,6.5
2012,29,6.1
2012,30,6.8
2012,31,5.7
2012,32,5.6
2012,33,6.9
2012,34,6.9
2012,35,7
2012,36,4.9
2012,37,3.2
2012,38,5.6
2012,39,5.8
2012,40,4.4
2012,41,4.9
2012,42,4.1
2012,43,5.2
2012,44,4.6
2012,45,6.7
2012,46,5.5
2012,47,
2012,48,
2012,49,
2012,50,
2012,51,
2013,14,2.3
2013,15,5.5
2013,16,3.6
2013,17,3.8
2013,18,1.9
2013,19,1.3
2013,20,2.2
2013,21,5.7
2013,22,4.8
2013,23,4.4
2013,24,3
2013,25,5.8
2013,26,4
2013,27,5
2013,28,5.4
2013,29,6.7
2013,30,6.9
2013,31,3.6
2013,32,3.9
2013,33,0.3
2013,34,3.5
2013,35,6.4
2013,36,6.2
2013,37,7
2013,38,6.8
2013,39,5.6
2013,40,4.3
2013,41,
2013,42,
2013,43,3.1
2013,44,5
2013,45,3.6
2013,46,3.8
2013,47,5.1
2013,48,2.8
2013,49,
2013,50,
2013,51,
2014,14,3
2014,15,2.5
2014,16,2.6
2014,17,5
2014,18,2.4
2014,19,4.5
2014,20,1
2014,21,6.2
2014,22,3.9
2014,23,3.8
2014,24,2.5
2014,25,6.3
2014,26,2.8
2014,27,4.6
2014,28,5.7
2014,29,5.3
2014,30,5.1
2014,31,7
2014,32,3.1
2014,33,4.6
2014,34,6.8
2014,35,5.2
2014,36,6.1
2014,37,3.7
2014,38,5
2014,39,7
2014,40,5.8
2014,41,2.5
2014,42,3.3
2014,43,6.3
2014,44,4.8
2014,45,3.8
2014,46,4.6
2014,47,3.8
2014,48,
2014,49,
2014,50,
2014,51,
2015,14,1.5
2015,15,1.1
2015,16,0.9
2015,17,1.5
2015,18,6.9
2015,19,5.5
2015,20,1.5
2015,21,1.2
2015,22,2
2015,23,5
2015,24,5.8
2015,25,3.6
2015,26,4.7
2015,27,3.2
2015,28,2.7
2015,29,4.9
2015,30,2.1
2015,31,6.3
2015,32,4.2
2015,33,5.2
2015,34,5.7
2015,35,6.7
2015,36,7
2015,37,5
2015,38,6.6
2015,39,6.8
2015,40,5.5
2015,41,6.5
2015,42,6.6
2015,43,5.2
2015,44,2.3
2015,45,2.6
2015,46,4
2015,47,2
2015,48,3.4
